SMILES,logIE,correction
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,3.6756527,0.053195628
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,1.6431351,0.153023159
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.6259217,0.032189449
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,1.3893425,0.131660908
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,2.0300791,0.033295654
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,1.1806889,0.212874095
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,2.8235457,0.019330576
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,1.4794934,0.039290013
CCCCCCCCCCCCCC(O)=O,1.7430995,0.087382486
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,2.2231603,0.029187656
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,2.4608672,0.000352507
C/C=C/C=C/C(O)=O,-0.3050828,-0.237293005
O=C1NC(=O)c2ccccc12,0.05398839,0.079767793
ON1C(=O)c2ccccc2C1=O,0.04181646,-1.097247586
NCCCC(O)=O,-1.5649745,-0.029588517
NCCC(O)=O,-2.4134386,-0.018927415
OC(=O)c1ccccc1,0.029346406,-2.467320323
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,1.2297935,0.140004511
OC(=O)c1cccc(c1)C(F)(F)F,1.2853634,0.143091043
Oc1c(F)c(F)c(F)c(F)c1F,1.3626528,0.184040252
CC(C)(C)c1ccc(cc1)C(O)=O,0.7766245,0.06430783
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,1.9805279,0.302631029
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.8481345,0.053775908
Oc1ccc(cc1)c2ccccc2,0.30290288,0.40607279
Oc1ccccc1c2ccccc2,0.30290288,-5.327183962
OC(=O)c1cccc(Cl)c1,0.7718861,0.187488305
Nc1ccc(cc1)C(O)=O,-0.028195858,-0.966029087
Nc1cccc(c1)C(O)=O,-0.028643023,1.954767441
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2537272,0.2668262
