SMILES,pH_aq,logIE
CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,2.91,4.72
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,2.91,3.95
C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,2.91,3.74
CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,2.91,3.47
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,2.91,3.29
CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,2.91,3.54
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,2.91,3.56
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,2.91,3.13
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,2.91,3.21
CC[N+](CC)(CC)CC,2.91,4.07
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.91,2.1
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,2.91,3.52
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.91,2.85
CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O,2.91,2.83
CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,2.91,1.59
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C,2.91,1.44
CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,2.91,2.23
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2.91,0.8
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,2.09,4.66
