SMILES,pH_aq,logIE
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,2.78,2.12
Oc1ccc(cc1)c2ccccc2,2.78,-1.45
OC(=O)c1cccc(Cl)c1,2.78,-0.12
Nc1ccc(cc1)C(O)=O,2.78,-2.32
OC(=O)c1ccc(O)cc1,2.78,-0.44
Nc1cccc(c1)C(O)=O,2.78,-1.86
OC(=O)c1c(F)c(F)c(F)c(F)c1F,2.78,0.47
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,2.78,0.79
CN(C)c1cccc(c1)C(O)=O,2.78,-1.35
CC(C)c1ccc(cc1)C(O)=O,2.78,-0.83
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,2.78,0.44
Oc1cccc(Cl)c1,2.78,-1.03
Oc1cccc(Br)c1,2.78,-0.44
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,2.78,0.61
Oc1cccc(c1)[N+]([O-])=O,2.78,0.39
Oc1ccc(cc1)[N+]([O-])=O,2.78,0.46
Oc1c(F)c(F)cc(F)c1F,2.78,-0.42
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,2.78,1.45
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,2.78,1.3
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,2.78,0.99
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,2.78,1.02
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,2.78,1.28
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,2.78,0.68
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,2.78,1.35
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.78,1.46
OC(=O)c1ccccc1O,2.78,-0.11
Oc1ccccc1C#N,2.78,-0.17
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,2.78,0.76
OC(=O)c1cc(I)cc(I)c1O,2.78,1.35
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,2.78,1.01
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2.78,0.84
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,2.78,-0.36
Oc1ccc(Cl)cc1,2.78,-1.28
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,2.78,1.31
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,2.78,0.91
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,2.78,0.47
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,2.78,1.32
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,2.78,0.5
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,2.78,2.34
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2.78,-0.41
CCCCCCCCCCCCCC(O)=O,2.78,-0.71
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,2.78,1.76
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,2.78,1.85
ON1C(=O)c2ccccc2C1=O,2.78,-1.46
OC(=O)c1ccccc1,2.78,-0.84
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,2.78,1.01
OC(=O)c1cccc(c1)C(F)(F)F,2.78,1.01
Oc1c(F)c(F)c(F)c(F)c1F,2.78,1.02
CC(C)(C)c1ccc(cc1)C(O)=O,2.78,-0.14
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,2.78,2.57
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.78,2.96
Oc1ccc(cc1)c2ccccc2,2.78,-0.48
Oc1ccccc1c2ccccc2,2.78,-1.79
OC(=O)c1cccc(Cl)c1,2.78,0.35
Nc1ccc(cc1)C(O)=O,2.78,-1.43
OC(=O)c1ccc(O)cc1,2.78,-0.04
Nc1cccc(c1)C(O)=O,2.78,-1.1
OC(=O)c1c(F)c(F)c(F)c(F)c1F,2.78,1.1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,2.78,1.59
CN(C)c1cccc(c1)C(O)=O,2.78,-0.7
CC(C)c1ccc(cc1)C(O)=O,2.78,-0.47
CC(C)(C)c1ccccc1O,2.78,-2.67
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,2.78,-1.13
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,2.78,1.09
Oc1cccc(Cl)c1,2.78,-0.36
Oc1cccc(Br)c1,2.78,0.22
Oc1ccccc1Br,2.78,-2.21
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,2.78,0.85
Oc1ccccc1[N+]([O-])=O,2.78,-2.08
Oc1cccc(c1)[N+]([O-])=O,2.78,0.75
Oc1ccc(cc1)[N+]([O-])=O,2.78,1.03
Oc1c(F)c(F)cc(F)c1F,2.78,0.36
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,2.78,1.91
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,2.78,1.72
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,2.78,1.31
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,2.78,1.25
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,2.78,1.7
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,2.78,1.11
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,2.78,1.91
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.78,2.34
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O,2.78,4
OC(=O)c1ccccc1O,2.78,0.35
Oc1ccccc1C#N,2.78,0.33
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,2.78,1.24
OC(=O)c1cc(I)cc(I)c1O,2.78,2.27
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,2.78,1.48
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2.78,1.48
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,2.78,-0.07
Oc1ccc(Cl)cc1,2.78,-0.37
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O,2.78,3.58
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,2.78,2.06
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,2.78,1.67
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,2.78,1.19
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,2.78,1.59
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,2.78,1.11
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,2.78,2.74
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,2.78,0.34
